,ID,Address,Categories,City,Country,Keys,Latitude,Longitude,Menu Page URL,Max Amount,Min Amount,Date Seen,Description,Menu Name,Name,Postal Code,Price Range Min,Price Range Max,Province
0,AVwc_6KEIN2L1WUfrKAH,Cascade Village Mall Across From Target,Pizza Place,Bend,US,us/or/bend/cascadevillagemallacrossfromtarget/-2134715703,44.10266476,-121.3007971,Undefined,22.5,15.5,2016-03-31T02:19:42Z,Undefined,Bianca Pizza,Little Pizza Paradise,97701,Undefined,Undefined,OR
1,AVwc_6KEIN2L1WUfrKAH,Cascade Village Mall Across From Target,Pizza Place,Bend,US,us/or/bend/cascadevillagemallacrossfromtarget/-2134715703,44.10266476,-121.3007971,Undefined,18.95,18.95,2016-03-31T02:19:42Z,Undefined,Cheese Pizza,Little Pizza Paradise,97701,Undefined,Undefined,OR
2,AVwc_6qRByjofQCxkcxw,148 S Barrington Ave,"American Restaurant,Bar,Bakery",Los Angeles,US,us/brentwood/losangeles/148sbarringtonave/-1516414008,34.06456347,-118.46901729999999,Undefined,12.0,12.0,2015-10-23T03:57:26Z,Undefined,"Pizza, Margherita",The Brentwood,90049,50.0,55.0,Brentwood
3,AVwc_6qRByjofQCxkcxw,148 S Barrington Ave,"American Restaurant,Bar,Bakery",Los Angeles,US,us/brentwood/losangeles/148sbarringtonave/-1516414008,34.06456347,-118.46901729999999,Undefined,13.0,13.0,2015-10-23T03:57:26Z,Undefined,"Pizza, Mushroom",The Brentwood,90049,50.0,55.0,Brentwood
4,AVwc_6qRByjofQCxkcxw,148 S Barrington Ave,"American Restaurant,Bar,Bakery",Los Angeles,US,us/brentwood/losangeles/148sbarringtonave/-1516414008,34.06456347,-118.46901729999999,Undefined,13.0,13.0,2015-10-23T03:57:26Z,"Olives, onions, capers, tomatoes","Pizza, Puttenesca",The Brentwood,90049,50.0,55.0,Brentwood
5,AVwc_6qRByjofQCxkcxw,148 S Barrington Ave,"American Restaurant,Bar,Bakery",Los Angeles,US,us/brentwood/losangeles/148sbarringtonave/-1516414008,34.06456347,-118.46901729999999,Undefined,15.0,15.0,2015-10-23T03:57:26Z,Undefined,"Pizza, Salami Piccante",The Brentwood,90049,50.0,55.0,Brentwood
6,AVwc_6qRByjofQCxkcxw,148 S Barrington Ave,"American Restaurant,Bar,Bakery",Los Angeles,US,us/brentwood/losangeles/148sbarringtonave/-1516414008,34.06456347,-118.46901729999999,Undefined,15.0,15.0,2015-10-23T03:57:26Z,Undefined,"Pizza, White Truffle Meat Sauce",The Brentwood,90049,50.0,55.0,Brentwood
7,AVwc_7d_IN2L1WUfrKNN,5142 Hollywood Blvd,Pizza Place,Los Angeles,US,us/losfeliz/losangeles/5142hollywoodblvd/-286711359,34.1017424,-118.30197290000001,Undefined,10.99,7.99,2016-06-14T02:33:07Z,Choose a pizza size.,Cheese Pizza,Bravo Pizza Hollywood,90027,Undefined,Undefined,Los Feliz
8,AVwc_7d_IN2L1WUfrKNN,5142 Hollywood Blvd,Pizza Place,Los Angeles,US,us/losfeliz/losangeles/5142hollywoodblvd/-286711359,34.1017424,-118.30197290000001,Undefined,11.99,7.99,2016-06-14T02:33:07Z,"Canadian bacon, pineapple.",Hawaiian Pizza,Bravo Pizza Hollywood,90027,Undefined,Undefined,Los Feliz
9,AVwc_7d_IN2L1WUfrKNN,5142 Hollywood Blvd,Pizza Place,Los Angeles,US,us/losfeliz/losangeles/5142hollywoodblvd/-286711359,34.1017424,-118.30197290000001,Undefined,16.99,11.99,2016-06-14T02:33:07Z,Undefined,Meat Lover Pizza,Bravo Pizza Hollywood,90027,Undefined,Undefined,Los Feliz
